title,company,location,salary,description,pageurl
Full Stack Developer,,"Burlington, MA 01803",,"EtQ, Inc. – Innovative, Dynamic, Collaborative
Who We Are
EtQ is the leader in Quality and Environmental Health and Safety Management Software Solutions with over 20 years of experience in enterprise software applications and compliance management. We are the preferred solution for Fortune 100 companies and startup companies alike. Some of the organizations we partner with are Boar’s Head, Chobani, FujiFilm, American Airlines, Kimberly-Clark and General Electric.
Who are Our Employees
At EtQ, it is all about our employees! Our employees are encouraged to think big and collaborate every day. We ensure that each employee is not only aware of our strategic vision; they are a part of it. This is because we know that our employees are critical components to EtQ’s ever-growing success.
Position Description
In this position you will create technical solutions in EtQ products through the entire development lifecycle. As part of a scrum team, you will work with both classic enterprise system technologies as well as cutting edge technologies to support a cloud architecture for SaaS products.
Responsibilities
Design, write, and test code for a Java-based back end system
Work in collaborative scrum team to deliver best of breed technical solutions
Contribute to evolving best practices regarding CI, TDD, etc.
Qualification & Skills
4+ years of hands on development experience in a Java environment
2+ Years of experience working with microservices in an agile environment
2+ Years of experience must have been focused on back end engineering
Bachelor’s degree in a technical discipline or equivalent work experience
Exposure to high scale cloud architecture, and web UI technologies, including Angular a PLUS
Familiarity with Amazon Web Services and/or Azure a PLUS
Experience in the Quality Management / Environmental Health & Safety domain a PLUS
Experience building SaaS products a PLUS
EEO/AA M/F/V/H
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information.",https://www.indeed.com/viewjob?jk=3593daccb67b0ea8&from=serp&vjs=3
Software Engineer - Full-Stack,Bunker,"Madison, WI",,"Are you passionate about creating experiences that people love and being a pioneer for change? If yes, we’d like to talk to you - Bunker is reinventing the $100B small business insurance industry by embedding insurance into contracts.
Backed by over $10M in capital from leading VCs and Fortune 1000 insurance companies, we’re in growth-mode and expanding our team.
Position for Hire
Our technology team is growing, and we are hiring a Software Engineer to help expand our feature set and grow our platform. We’re building flexible and scalable solutions that enable us to test the market and adjust to our customer’s needs.
About the team
We use Kanban and Agile principles to rapidly deploy new features every day - we released over 300 times last year! Our team has embraced automation (CI/CD) which enables us to spend our time writing software. We work hard to keep our processes slim which allows us to make quick adjustments to our continually shifting priorities. If you’re looking for a fast-paced environment with a modern tech-stack, you’ve come to the right place.
Technology Stack
Angular 7 - Single Page Application
Typescript
.NET Core 2.2 - Services
Node.js - Services
API first microservices architectureHosted by Amazon Web Services
Supporting tech: Docker, Mixpanel, Sendgrid, Sentry, Salesforce, and Zendesk
Responsibilities
Collaborate with the engineering team and across functional areas to build great technical solutions
Contribute code in multiple repositories and technologies
Write testable code… and test it!
Review code via pull requests
Gather domain knowledge to understand how to support our customer’s needs
Own your work, care about what you do, and see your solution all the way to production
Qualifications
2+ years of software development experience
A desire to work on full-stack features
Solid understanding of the HTTP lifecycle
Self-motivated with an appetite for owning your work
Passion for writing high quality software
Experience working with Agile principles (preferred)
Why join Bunker?
Culture
: We thrive on fearless change, transparency, authentic collaboration, coffee, sarcasm and laughter. Oh, and we’re a tech start-up, which means we don’t have a dress code, we're constantly testing new ways to solve problems, and we routinely make fun of ourselves.
Team
: We encourage our team to be their authentic selves, to be peers and mentors who understand each other’s value, and to be challenged to exceed expectations in all that you do. Our collective work is about challenging ourselves and growing with the people around us.
Benefits
: We are proud to offer a competitive benefits package, which is really just the tip of the benefits-iceberg for eligible employees. This package includes health, dental, vision, short and long term disability, and life insurance that is covered 100% by the company for the employee. In addition Bunker offers a 401k option, stock options, commuter benefits, FSA and dependent care. Beyond the standard benefits are unlimited PTO, a generous parental leave policy, community lunches, and a flexible work schedule.",https://www.indeed.com/viewjob?jk=c76e6ee164d9c5d0&from=serp&vjs=3
Full Stack Developer (REMOTE),,United States,,"Experience working with JAVA, Angular and web design standards and technologies, including CSS, HTML 5, JavaScript
Implementing the MVC Development Methodology (Model/View/Controller).
Developing and managing data models with CA Erwin.
Designing and developing solutions with Java Platform Enterprise Edition (J2EE) in an Agile Software Development environment.
Designing and developing Application Programming Interfaces (APIs) with Representation State Transfer (REST), Simple Object Access Protocol (SOAP), and JavaScript Object Notation (JSON).
Developing database queries, batch jobs, and stored procedures with PL/SQL and NoSQL.
Developing solutions using Message Services, including management of Apache ActiveMQ.
DevOps pipeline tools including configuration management, requirements (e.g. JIRA), automated testing, and deployment.
Developing applications with responsive web design frameworks to support multiple platforms including compatibility with Chrome, Internet Explorer, Java, and iOS.
Configuration management planning including configuration identification, change control, configuration status accounting, configuration audits, configuration documentation.
2 + years of experience if Masters, 5 + years of experience if Bachelors
Red Hat Certified JBoss Developer (RHCJD) preferred.
Ability to attain DHS Suitability Clearance 5C (Moderate Risk) position of public trust adjudication and a DHS Suitability Clearance 6C (High Risk) for those positions requiring access to Production environments.",https://www.indeed.com/viewjob?jk=b7f66f17d28dfa6f&from=serp&vjs=3
Sr. DevOps Engineer (Sr. App Dev),UNITED PARCEL SERVICE,"Louisville, KY 40219",,"Sr. DevOps Engineer
Internal Title: Sr. Applications Developer
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done…our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Applications Development at UPS Technology:
Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As a member of the applications development family, you will help UPS grow and provide valuable services across the globe.
About this role:
The
Sr. DevOps Engineer
provides input and support for, and performs full systems life cycle management activities (e.g., analyses, technical requirements, design, coding, testing, implementation of systems and applications software, etc.). He/She participates in component and data architecture design, technology planning, and testing for Applications Development (AD) initiatives to meet business requirements. This position provides input to applications development project plans and integrations. He/She collaborates with teams and supports emerging technologies to ensure effective communication and achievement of objectives. This position provides knowledge and support for applications development, integration, and maintenance. He/She provides input to department and project teams on decisions supporting projects.
The
Sr. DevOps Engineer
will be responsible for configuring and overseeing the Continuous Integration and Continuous Delivery tools for the Crew Program. Tools may include: Jenkins, Groovy Script, Git, TFS, OpenShift and Docker. The candidate will have familiarity with Cloud infrastructure (e.g. VMware, Kubernetes, IBM Cloud) and CI tools to help development teams produce pipeline that improve software quality. The development stack will include Java + Spring Boot, Node.js, Angular, Oracle, Couchbase, etc. He/She will have strong verbal and written communication skills and will be comfortable presenting technical strategies to development teams and other DevOps Engineers.
The
Sr. DevOps Engineer
primary responsibilities:
Experience with OpenShift deployments and Linux Administration
Knowledge of Jenkins/Git/Java
Assisting to define and control the application CI/CD methods and process.
Configuring, implementing and automating Continuous Delivery pipelines for software delivery teams utilizing the supported CI tools.
Creating, implementing and providing oversight of system properties, script library and plugins.
Working with deployment and release management tools to onboard development teams and create full release pipelines.
Work across departments to collect and contribute to CI/CD best practices.
Resolving build server or deployment related problems as required.
Test Driven Development (TDD)
Build Docker Images
OpenShift Administration
Minimum Qualifications:
Experience with OpenShift, Linux OS, Agile Development, Couch Base, Java Programming and Linux System Administration
Preferred Qualifications:
Bachelor's degree in Computer Science or equivalent.
This position offers an exceptional opportunity to work for a Fortune 50 industry leader. If you are selected, you will join our dynamic technology team in making a difference to our business and customers. Do you think you have what it takes? Prove it! At UPS, ambition knows no time zone.
UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",https://www.indeed.com/viewjob?jk=8baa174f3917d4f4&from=serp&vjs=3
Java/Full Stack Software Engineer - Wealth Management,JP Morgan Chase,"Plano, TX 75024",,"As an Application Developer to work in enhancements/tech upgrade for Digital Wealth management program/applications, the candidate will be required to provide high quality technology solutions that address business needs by developing applications within mature technology environments. The role will involve working with business users located in various locations as well as other
The role will include the following major functions/responsibilities:
Design, implement, test and maintain major server-side components and web applications.
Design and implement UI components in different frameworks
Implement back-end components of an n-tier application, including data model, data access objects, and application logic.
Participate in project planning sessions with project managers, business analysts and team members to analyze business requirements and outline the proposed IT solution
Participate in design reviews and provide input to the design recommendations; incorporate security requirements into design; and provide input to information/data flow, and understand and comply with architectural standards in all phases.
Document the detailed application specifications, translate technical requirements into programmed application modules and develop/enhance software application modules
Participate in code reviews and ensure that all solutions are aligned to pre-defined architectural specifications; identify/troubleshoot application code-related issues
Research and prototype new technologies as appropriate.
Ensure quality and completeness of the product through unit testing, documentation and maintenance as appropriate.
Our Asset and Wealth Management division is driven by innovators like you who are driven to create technology solutions that make us work more efficiently and help our businesses grow. It’s our mission to efficiently take care of our clients’ wealth, helping them get, and remain properly invested. Across 27 cities, our team of 4,600 agile technologists thrive in a cloud-native environment that values continuous learning using a data-centric approach in developing innovative technology solutions.
When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.
At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.
Skills
Bachelor degree in Computer Science or related field.
Minimum of 8 years of experience in Enterprise Application Development using Java/JavaScript, J2EE, EJB, XML, Web Services/SOA and HTML.
Familiar with Cloud watch, Elastic IP's and managing security groups for EC2 Servers.
Hands on experience with the AWS CLI and SDKs/API tools.
Hands on experience in Apache Camel
Advanced knowledge of JMS
Hands on experience in Micro Service and Docker
Knowledge in Angular 4/5 or React JS
Experience with open source frameworks: Open source frameworks, e.g., Spring, Hibernate, Struts, JSTL
Experience with ANT, Maven build/deployment process.
Strong experience in PL/SQL, including triggers, stored procedures, queries, etc.
Strong understanding of object oriented programming and design patterns.
Strong technical, analytical, problem solving, and communication skills.
Experience with system, application, and process documentation including tools such as MS-Visio, etc.
Excellent verbal, written, interpersonal, organizational and time management skills.
Experience with SVN Source Code management techniques/ tools for software management, Knowledge SDLC tools (JIRA).
Demonstrated teamwork and ability to work with diversified multi-location team.
Experience with working on Agile/Scrum method of product implementation and delivery.
Experience with implementing workflow applications is a plus.
Experience with implementing a rules engine is a plus.",https://www.indeed.com/viewjob?jk=bf97ea7393a3709e&from=serp&vjs=3
MEAN Stack Developer,Logic20/20,"San Jose, CA",,"MEAN Stack Developer
San Jose, CA
About the role. . .
We are looking for a MEAN Stack Developer to join our San Jose, CA based team to work with cutting-edge technologies and interesting companies in a wide variety of fast-paced and exciting environments. The MEAN stack developer is responsible for all aspects of the software development life-cycle, which includes estimating, technical design, implementation, documentation, testing, deployment and support of innovative applications developed for our clients. You will team with solution architects and developers on the translation of wire-frames and creative designs into functional requirements, and subsequently into technical design. The ideal candidate will have a customer-first mindset and focus on what is possible vs. what is standard practice in the industry. They will have excellent product instincts, passion for great app experiences, a data-centric mindset, and the willingness to do what it takes to have a positive impact on our customers.
About You. . .
Customer-obsessed; you care about and understand the customer needs and focus on driving product requirements that align to them
Demonstrated ability to lead projects from concept to delivery by working closely with back-end and front-end developers
Consistently ensure web standards are met and platforms are fully functional before delivery to clients
Have a strong passion for mobile apps and emerging technologies
Proven expertise in industry SDLC best practices and delivery excellence
Ability to roll up sleeves and immerse in the details
Results focused
Qualifications: Required:
5+ years of software development experience with a track record of shipping highly scalable, cross-platform products
5+ years of experience in technical architecture of web applications and/or media products
5+ years of experience creating examples through wire-frames and mock-ups
Excellent hands-on design, coding, testing methodologies and debugging skills
Solid Java, JavaScript, HTML/HTML5, Handlebar/Backbone/ReactJS experience with MVC or component-based UI frameworks, Spring Boot
Strong proficiency with AngularJS, NodeJS, Java or .Net
Preferred:
MongoDB, Express.JS
Proven experience with rapid, iterative design and development processes
Launched product experiences into consumer-facing web and/or mobile applications
Prior experience working in an Agile development process
Strong communication and presentation skills
Ability to drive projects to timely completion
Experienced in identifying the business and technical impacts of requirements
Deep understanding of Service Oriented Architectures, Domain Driven Design concepts
Demonstrated experience developing solutions with Amazon Web Services (AWS) and/or other relevant Cloud Infrastructure solutions like Microsoft Azure or Google Cloud
Experience working with high-volume streaming systems (Apache Kafka/Kinesis)
Experience working with geographically distributed teams
Bachelor’s degree in computer science or professional certifications in computer technology
About Logic20/20. . .
Logic20/20
is one of Seattle’s fastest growing full-service consulting firms. Our core competency is creating simplicity and efficiency in complex solutions. Although we make it look like magic, we succeed by combining methodical and structured approaches with our substantial experience to design elegant solutions for even the most intricate challenges. Our rapid growth is in response to our ability to deliver consistently for our clients, which is directly related to the quality of the people we hire.
The past three years, we’ve been in the top 10 “Best Companies to Work For” ….. why? Our team members are highly self-motivated, comfortable conceiving strategies on the fly, and enjoy working both individually and as part of a team. Our environment is very high-energy and demanding, and individuals with remarkable enthusiasm and a can-do attitude are joining our team. We have lots of fun, focus on our employees and our clients, and work to bring our best to every opportunity.",https://www.indeed.com/viewjob?jk=146f13f2821a1894&from=serp&vjs=3
Full Stack Developer,Dallas Morning News,"Dallas, TX 75201",,"Job Description:
If you’re excited about your work making an impact on
millions of users and you love working on the newest
technologies, delivering valuable and quality products
with the sense of ownership, then you should join us!
The Dallas Morning News is possible because of some
great cutting-edge technology. We have an opportunity
for some great minds to help us make it even better. We
love NodeJS and React and we have been known to dive
into PHP and Python and even Perl. But the world is
built out of HTML and all its friends. You should know
them all very well. We encourage using the right tool
for the job, not just the stuff mandated by corporate.
We store documents in JSON but play with XML too. NoSQL
is not a bad word and neither is SQL. If there’s not an
API, we should build one. Our developers are given the
freedom to create their environments and tear them down
when not needed. A little creative destruction is
sometimes the right catalyst. But we really like
continuous improvement and delivery. And while we are in
the cloud, there are toys on site, too.
We think in Agile, argue in Scrum and every once in a
while we look at Gantt charts too.
Flexible work schedules are okay but we prefer having
fun together.
The Full Stack Developer will design, develop, test, and
support cutting-edge digital initiatives at A.H. Belo
and The Dallas Morning News. There will be opportunities
to work with several teams and you will be touching
multiple initiatives, including:
The CMS Development team will implement a
world-class enterprise content management system
across The Dallas Morning News and is the foundation
upon which all digital content will be created.
Digital marketing: Work with digital marketing team
on subscription acquisition Integrations; user
authentication and management; payment system
integration; subscription acquisition development;
behavior and personalization integrations; consumer
data integrations; API integrations; CSR Tools
DevOps team: Work cross-functionally and
cross-departmentally to keep systems on track and
production running smoothly. Expect sleeves up
monitoring, test and deployment automation
throughout the environment while assisting with the
entire software life-cycle.
Work in an agile environment where we ship features
frequently to create user delight.
Build reusable code and libraries for future use.
Build next-generation applications for desktop and
mobile browsers with an emphasis on user experiences
and constant attention to scalability, performance,
accessibility and cross-browser compatibility.
Application design, development, testing, and
support, as needed to augment and backfill
application and other digital efforts.
Support tracking projects to schedule, budget, and
scope, reporting status, issues, and risks to
project leadership team.
Ensure project tools, techniques, and methods are
effective and up-to-date.
Review all application designs within the project
portfolio to ensure overall consistency with each
other and with the architecture of the portfolio.
Review and approve the test plans and testing within
the portfolio.
Review and approve key project deliverables as noted
by supervisors.
Direct the production support for the portfolio.
Must be on call to resolve complex and escalated
production issues.
Job Requirements:
Technical school degree in an appropriate technical
field or a four-year college degree, or an
equivalent combination of training and experience.
At least two years of development experience.
Experience in working with teams to deliver
technology projects on time and within budget, and
the ability to work on multiple projects at once.
Extensive experience in supporting a variety of
business application areas.
Developing and deploying applications hosted in AWS
or similar cloud environments.
Working with and developing for media-related
websites.
HTML / CSS primary front-end development languages
Javascript (modularized / functional code,
callbacks, DOM manipulation, async processing)
JQuery
Angular / React is a plus
PHP primary server development language
JSP / Python secondary to primary server development
language
SQL (Mysql / Oracle) / noSQL (MongoDB /
Elasticsearch )
HTTP / REST / JSON / Websockets (Consuming and
exposing APIs)
Git source code management
Continuous build full understanding
Web CMS experience
Working knowledge of optimization techniques (both
in file weight and perceived/actual rendering
speed).
Experience using performance measurement tools to
optimize front-end code.
Experience with JIRA and Confluence",https://www.indeed.com/viewjob?jk=9aa2ad029d58eb5b&from=serp&vjs=3
Sr. Angular/Nodejs Developer,DST Systems,"Quincy, MA",,"Organizational Overview
At DST Financial Services, we believe that in order to better service our clients it’s through our use of data. In our Australia, United Kingdom, and United States offices we provide services to mutual funds, brokerage firms, retirement plans, wealth management, and other financial services. Every day our global offices work together to master the complexity of the financial industry to transform the most challenging tasks into opportunity and competitive advantage.
Role Overview
Sr. Software Engineers demonstrate a comprehensive understanding of the intricacies within a particular application or product suite. This person will not have direct supervisory responsibility, but will function as a highly skilled technical resource or lead. Will design and develop technical solutions that satisfy business requirements for function, performance, security, and maintainability. They perform all phases of systems analyses and design and are typically assigned the largest and most complex applications. Sr. Software Engineers assume responsibility for converting business designs to technical designs, including all the internal components that make up a complex application. Sr. Software Engineers define the application’s objective and overall scope. This individual will develop inclusive technical models/designs and write functional design specifications or enhancement documentation from which detailed technical specifications and programs can be written. Sr. Software Engineers lead and actively participate in system requirement reviews, technical design reviews, process modeling, object modeling, and data modeling for their assigned project.
Responsibilities
Full Stack Developer
Work on own with little direction
Understand Web Design
Strong UI with experience in Angular, Bootstrap, Typescript, Javascript, NodeJS
MySQL
PHP
PDFLib
Linux (basics, setting up programs)
Cron jobs
Location:
Quincy Massachusetts
DST is an equal opportunity employer and values a diverse and inclusive workplace. All qualified candidates will receive consideration for employment without regard to age, race, color, religion, genetic information, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. For more information about Equal Opportunity in the Workplace please click here and here . DST is committed to working with and providing reasonable accommodation to job applicants with disabilities. If you are a qualified individual with a disability and need an accommodation or accessibility assistance to complete the online application, please contact us at PeopleCenter@dstsystems.com for assistance.",https://www.indeed.com/viewjob?jk=6a6316d584e9d06f&from=serp&vjs=3
Senior Java Developer,Experian,"Scottsdale, AZ",,"We are looking for strong a Java developer who is self-motivated and thrives in a fast-paced agile development environment. you will be a key contributor in designing and implementing key product features. This is a highly technical role requiring excellent coding skills. You will be responsible for developing a powerful, intuitive enterprise level data platform built on a Java stack.
About us, but we’ll be brief
Experian offers identity and fraud services for clients in more than 44 countries. Every year, we check that over 400 million people are who they say they are, and help organizations effectively fight fraud while providing a hassle-free customer experience. The fraud landscape is constantly changing and a one-size-fits-all approach doesn’t do enough to stop today’s sophisticated fraudsters. We use a unique combination of data, analytics and technology to create right-sized fraud solutions that allow our clients to make confident decisions for every transaction. Our ultimate goal is to make the industry’s fraud and identity solutions work better for everyone around the world.
What your background looks like
At least six years of relevant software development experience
A degree in computer science or a similar field, or additional relevant work experience
Exceptional programming skills in Java
Comfortable with open source ecosystem
Proficient with web services development using REST/JSON interfaces
Comfortable with agile software development methodologies: Scrum, unit testing, code reviews, etc.
Additional Preferred Experience
Working knowledge of relational databases
Experience developing Dropwizard or Spring Boot services
Familiarity with CI/CD build automation
Familiarity creating and using Docker/Kubernetes/OpenShift
Experience working with remote teams
Hands-on experience with Cassandra is highly desirable
Experience working with Cloud environments and technologies (AWS preferred)
Perks
A beautiful office location with views of North Scottsdale and the surrounding mountains
You’ll be surrounded by great minds, a high talent strategic hub
All full-time positions are bonus eligible
We order lunch in every Monday
Cold brew coffee on tap, along with assorted beverages and snacks
Pool, ping pong and foosball tables
A relaxed dress code
EOE including Disability/Veterans",https://www.indeed.com/viewjob?jk=50cf012e4881e243&from=serp&vjs=3
Full Stack Software Engineer,,"Burlington, MA 01805",,"Our client is a billion dollar-plus company doing really well and growing, seeking to add a passionate & experienced senior/principal level Full Stack Software Engineer (more focus on back end), to join the team in delivering continuous deployment of new features and content to a highly available cloud based infrastructure.
If you like to dive in and contribute in many areas, be a thought leader and really have a Seat at the Table and make a difference — let's talk!
YOU SHOULD HAVE:
8+ years’ hands-on experience developing scalable, customer facing web and software applications
Expertise with JavaScript back end development - Node
Hands-on experience designing and building REST web services
Working knowledge of a scripting language such as Perl, Python or PHP
Experience deploying apps in AWS
YOU WILL:
Apply deep technical expertise to resolve programming and design challenges
Design, code, test, debug and document new and existing components to ensure that software meets business, quality, and operational needs
Drive and participate in code and document reviews, mentoring the team in best practices
Evaluate and recommend tools, technologies and processes to ensure the highest quality and performance is achieved
Contribute to the design and architecture to enable secure, scalable and maintainable",https://www.indeed.com/viewjob?jk=ae8ef8b65aec395c&from=serp&vjs=3
